Student Id,Gender,Age,Motivation,Attendance_Rate,Mark
30051076,Male,25,50,80,50.5
30067059,Male,25,41,56,24.5
30067059,Male,30,78,89,61
30071826,Male,25,53,76,51.5
30078801,Female,21,86,88,70
30080469,Female,22,90,90,80.5
30084276,Male,25,83,94,71
30089058,Female,27,93,100,84
30089474,Female,22,41,60,15
30089474,Female,24,87,100,79.6
30089498,Female,23,55,72,46
30089500,Female,20,90,92,80.5
30090285,Female,27,77,81,63
30091179,Female,25,69,81,54
30092114,Male,24,83,90,74.5
30092156,Female,24,76,80,64
30094703,Male,27,96,100,85.5
30096185,Male,25,84,93,74
30096345,Male,27,81,90,70
30096517,Female,27,69,81,59
30096989,Male,25,70,85,61
30097100,Male,20,97,100,82.5
30097106,Female,20,76,87,63.5
30097177,Female,23,95,100,95
30097439,Male,29,55,62,37.5
30097676,Female,22,61,78,58
30097750,Female,25,57,79,45
30097750,Female,26,58,70,42.5
30097832,Male,23,65,80,56
30098241,Male,30,72,84,67
30098492,Male,29,56,79,43.5
30098510,Female,27,59,70,45.5
30098684,Male,22,90,95,70
30098875,Male,20,72,88,66
30099047,Female,30,87,94,71
30099065,Female,27,86,94,72.5
30099141,Female,21,52,54,21
30099561,Male,27,54,73,45
30099642,Male,27,75,80,67.5
30099700,Male,25,88,91,74
30100283,Female,26,74,81,67.5
30100352,Female,29,50,70,45
30100399,Male,28,56,66,35
30100399,Male,26,100,100,83
30100410,Male,29,53,72,53
30100410,Male,25,54,73,42.5
30100683,Male,28,82,93,76.5
30100688,Female,24,59,73,41
30101286,Female,22,59,70,45.5
30101316,Male,20,84,92,75.5
30101489,Female,21,78,88,64
30101637,Male,20,43,64,2.5
30101858,Female,25,90,100,83
30102272,Male,28,69,79,55
30102287,Male,20,52,63,5.5
30102303,Female,27,86,92,78.5
30102366,Female,28,74,86,65
30102376,Female,26,89,90,79
30102409,Female,27,100,100,93
30102495,Male,27,70,81,62
30102500,Female,22,55,72,47.5
30102525,Male,20,79,89,63
30102720,Female,25,65,78,55
30102854,Male,28,56,81,53
30103146,Female,25,64,76,58.5
30104500,Female,27,70,81,65.5
30104531,Male,28,62,80,56
30104606,Female,26,79,83,63
30104726,Male,30,84,90,74
30104806,Female,25,97,100,80.5
30104941,Female,29,73,83,60.5
30104975,Female,30,70,84,67
30105005,Female,20,77,81,63.5
30105008,Male,21,61,81,56
30105716,Male,25,77,81,61.1
30105716,Male,23,53,62,39.5
30105755,Female,30,89,92,72
30105834,Male,25,59,66,37
30105859,Male,23,77,90,69.5
30105883,Female,22,89,90,73
30105959,Male,25,90,94,79
30105962,Female,21,73,80,66.5
30106035,Male,25,56,60,6
30106070,Female,29,51,80,53
30106070,Female,26,99,100,83
30106241,Female,25,43,59,3
30106417,Female,24,84,93,73.5
30106429,Female,29,58,76,52.5
30106429,Female,28,40,52,38.5
30106431,Female,28,80,86,67.5
30106459,Male,28,54,56,38
30106459,Female,30,48,67,32.5
30106505,Female,21,53,70,33.5
30106535,Female,29,61,80,55
30106539,Female,20,53,84,49
30106587,Male,25,52,69,6
30106625,Male,27,77,83,68
30106666,Male,27,78,83,63
30106676,Male,25,85,88,71
30106705,Female,27,70,80,60
30106740,Female,28,54,82,53
30106844,Female,28,54,85,50.5
30106847,Male,22,69,80,54.5
30106880,Female,25,79,89,67
30106883,Female,20,71,88,69.5
30106927,Female,27,80,86,64
30106936,Male,30,50,79,40.5
30106936,Male,28,69,79,57.5
30107010,Female,26,70,76,54.5
30107391,Female,25,91,100,89.5
30107629,Female,25,87,95,72.4
30107670,Male,26,79,81,61.5
30107927,Female,27,65,72,55
30107927,Male,30,80,91,72.5
30108180,Female,25,86,95,77
30108241,Female,25,60,70,41.5
30108241,Male,25,74,85,67.5
30108289,Female,25,97,100,83
30108308,Female,23,80,95,70.5
30108382,Male,28,77,84,61
30108453,Female,25,86,91,75.2
30108644,Female,25,72,88,66.5
30108692,Male,23,64,81,58.8
30108703,Male,20,90,91,75.9
30108713,Male,23,53,72,41.7
30108714,Male,25,82,90,73.5
30108733,Female,24,87,91,76.6
30108957,Female,27,93,100,81
30109256,Male,25,56,74,47.9
30109258,Female,30,73,85,63.5
30109308,Male,27,89,94,76
30109340,Male,27,49,85,34.5
30109404,Male,25,89,92,71
30109545,Female,25,87,92,72.3
30109556,Male,22,85,95,70.5
30109592,Female,29,88,95,75
30109639,Female,26,70,79,58
30109887,Female,29,81,90,71.5
30109960,Female,22,66,78,59.3
30109989,Male,21,98,100,92.5
30110113,Male,29,79,85,64.5
30110280,Male,21,99,100,83
30110284,Female,21,48,65,34.7
30110429,Male,30,84,90,74
30110540,Female,27,70,86,65
30110562,Male,22,51,79,46.3
30110746,Female,25,66,78,58.5
30110832,Male,27,95,100,80.5
30110869,Female,28,90,100,92
30111423,Female,30,83,92,74
30111605,Female,25,51,80,50.5
30112021,Female,30,90,100,84
30112069,Male,28,70,75,56
30112162,Female,24,88,90,69.9
30112236,Female,22,70,76,56
30112241,Female,26,87,90,71
30112731,Male,30,58,73,40.5
30112901,Female,22,76,90,63
30112943,Male,22,69,80,56.5
30113009,Female,21,58,61,17.7
30113009,Female,20,86,93,75.8
30113047,Male,25,89,94,69.8
30113369,Female,28,53,76,45.5
30113369,Female,29,78,88,67
30115015,Male,28,61,77,58
30115135,Female,21,77,82,65.1
30115227,Male,29,92,100,83.5
30115230,Female,20,43,59,22.8
30115307,Male,25,63,81,57
30115308,Female,23,47,55,36.5
30115369,Male,22,45,57,16.8
30115525,Male,25,78,86,67.5
30115533,Female,23,98,100,92.5
30115539,Female,21,52,77,41.3
30115539,Female,22,76,85,60.8
30115551,Male,25,82,93,70.5
30115591,Female,28,94,100,88.5
30115752,Male,23,76,88,67.5
30116322,Male,25,67,81,58
30116435,Male,28,80,86,66.5
30116784,Female,28,67,76,58.5
30116946,Male,24,78,80,60.1
30117228,Male,28,57,72,41
30117228,Female,26,67,82,59.5
30117404,Male,29,70,86,67
30117443,Female,26,83,95,76
30117447,Male,26,71,89,63
30117452,Male,23,57,71,46.2
30117452,Female,20,60,79,55.9
30117461,Male,24,99,100,81.8
30117547,Female,30,60,80,58
30117804,Female,25,87,92,78.5
30118009,Female,29,93,100,81.5
30118038,Male,28,56,72,47.5
30118051,Male,25,54,72,49.5
30118083,Male,30,52,80,51
30118742,Female,26,94,100,82.5
30118851,Male,25,85,91,75.5
30119309,Female,26,87,90,71.5
30120178,Male,25,89,90,73.5
